"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000230487",8.08097750962649,-1.23297567824396,1.24225781183088,-0.992528013510141,0.32094002107252,0.969642018752196
"ENSG00000176396",7.69977993364479,-0.705439608682135,1.26233031623583,-0.558839156129675,0.576271496766699,0.999838284898011
"ENSG00000230484",0,NA,NA,NA,NA,NA
"ENSG00000176390",8.02484983233584,-0.272689990929476,1.26500306764331,-0.215564687473443,0.829327083934057,0.999838284898011
"ENSG00000230482",0,NA,NA,NA,NA,NA
"ENSG00000230481",0,NA,NA,NA,NA,NA
"ENSG00000176393",46.299262612196,1.12123565590591,0.807871043026004,1.38788939841952,0.165170726581667,0.772875029610739
"ENSG00000176399",3.44387232270935,-0.284107936692606,1.52858086412571,-0.185863858013887,0.852551525421549,NA
"ENSG00000230489",0,NA,NA,NA,NA,NA
"ENSG00000243900",0,NA,NA,NA,NA,NA
"ENSG00000243902",0,NA,NA,NA,NA,NA
"ENSG00000243903",0,NA,NA,NA,NA,NA
"ENSG00000243904",0.206267474672764,0.808358522065789,1.35156465256271,0.598090901928411,0.549779280591825,NA
"ENSG00000083635",5.85640727205488,-0.782685104421519,1.41974605038356,-0.551285283878811,0.581438124919717,0.999838284898011
"ENSG00000248029",0,NA,NA,NA,NA,NA
"ENSG00000248027",0,NA,NA,NA,NA,NA
"ENSG00000063515",0,NA,NA,NA,NA,NA
"ENSG00000252599",0,NA,NA,NA,NA,NA
"ENSG00000252598",0,NA,NA,NA,NA,NA
"ENSG00000279713",0,NA,NA,NA,NA,NA
"ENSG00000252591",0,NA,NA,NA,NA,NA
"ENSG00000252590",0,NA,NA,NA,NA,NA
"ENSG00000252593",0,NA,NA,NA,NA,NA
"ENSG00000167531",0,NA,NA,NA,NA,NA
"ENSG00000167536",4.19977993364479,0.614405775683063,1.43113113860871,0.429314797999829,0.667694149160646,0.999838284898011
"ENSG00000252594",0,NA,NA,NA,NA,NA
